pclass,survived,age,sibsp,parch,fare,boat,female,male
1,0,19.0,3,2,263.0,27,0,1
1,0,64.0,1,4,263.0,27,0,1
1,1,60.0,1,4,263.0,3,1,0
1,1,30.0,0,0,56.9292,17,1,0
1,1,50.0,2,0,133.65,11,0,1
1,1,43.0,1,0,27.7208,11,0,1
1,1,22.0,0,2,49.5,11,1,0
1,1,60.0,1,1,79.2,11,0,1
1,1,48.0,1,1,79.2,11,1,0
1,0,37.0,1,0,53.1,27,0,1
1,1,35.0,1,0,53.1,4,1,0
1,0,47.0,0,0,38.5,27,0,1
1,1,35.0,0,0,211.5,5,1,0
1,1,22.0,0,1,59.4,12,1,0
1,1,45.0,0,1,59.4,12,1,0
1,0,24.0,0,0,79.2,27,0,1
1,1,49.0,1,0,89.1042,11,0,1
1,0,71.0,0,0,34.6542,27,0,1
1,1,53.0,0,0,28.5,8,0,1
1,1,19.0,0,0,30.0,2,1,0
1,0,38.0,0,1,153.4625,27,0,1
1,1,58.0,0,1,153.4625,2,1,0
1,1,23.0,0,1,63.3583,12,0,1
1,1,45.0,0,1,63.3583,12,1,0
1,0,46.0,0,0,79.2,27,0,1
1,1,25.0,1,0,55.4417,11,0,1
1,1,25.0,1,0,55.4417,11,1,0
1,1,48.0,1,0,76.7292,2,0,1
1,1,49.0,1,0,76.7292,2,1,0
1,0,45.0,1,0,83.475,27,0,1
1,1,35.0,1,0,83.475,4,1,0
1,0,40.0,0,0,0.0,27,0,1
1,1,27.0,0,0,76.7292,2,0,1
1,1,24.0,0,0,83.1583,12,1,0
1,0,55.0,1,1,93.5,27,0,1
1,1,52.0,1,1,93.5,2,1,0
1,0,42.0,0,0,42.5,27,0,1
1,0,55.0,0,0,50.0,27,0,1
1,1,16.0,0,1,57.9792,5,1,0
1,1,44.0,0,1,57.9792,5,1,0
1,1,51.0,1,0,77.9583,3,1,0
1,0,42.0,1,0,52.0,27,0,1
1,1,35.0,1,0,52.0,9,1,0
1,1,35.0,0,0,26.55,18,0,1
1,1,38.0,1,0,90.0,4,0,1
1,1,35.0,1,0,90.0,4,1,0
1,1,38.0,0,0,80.0,7,1,0
1,0,50.0,0,0,28.7125,27,1,0
1,1,49.0,0,0,0.0,13,0,1
1,0,46.0,0,0,26.0,27,0,1
1,0,50.0,0,0,26.0,27,0,1
1,0,32.5,0,0,211.5,27,0,1
1,0,58.0,0,0,29.7,27,0,1
1,0,41.0,1,0,51.8625,27,0,1
1,1,42.0,1,0,52.5542,11,0,1
1,1,45.0,1,0,52.5542,11,1,0
1,1,39.0,0,0,211.3375,0,1,0
1,1,49.0,0,0,25.9292,9,1,0
1,1,30.0,0,0,106.425,0,1,0
1,1,35.0,0,0,512.3292,2,0,1
1,0,42.0,0,0,26.55,27,0,1
1,1,55.0,0,0,27.7208,7,1,0
1,1,16.0,0,1,39.4,6,1,0
1,1,51.0,0,1,39.4,6,1,0
1,0,29.0,0,0,30.0,27,0,1
1,1,21.0,0,0,77.9583,3,1,0
1,0,30.0,0,0,45.5,27,0,1
1,1,58.0,0,0,146.5208,27,1,0
1,1,15.0,0,1,211.3375,0,1,0
1,0,30.0,0,0,26.0,27,0,1
1,1,16.0,0,0,86.5,9,1,0
1,0,19.0,1,0,53.1,27,0,1
1,1,18.0,1,0,53.1,3,1,0
1,1,24.0,0,0,49.5042,7,1,0
1,0,46.0,0,0,75.2417,27,0,1
1,0,54.0,0,0,51.8625,27,0,1
1,1,36.0,0,0,26.2875,12,0,1
1,0,28.0,1,0,82.1708,27,0,1
1,0,65.0,0,0,26.55,27,0,1
1,0,44.0,2,0,90.0,27,0,1
1,1,33.0,1,0,90.0,14,1,0
1,1,37.0,1,0,90.0,14,1,0
1,1,30.0,1,0,57.75,1,0,1
1,0,55.0,0,0,30.5,27,0,1
1,0,47.0,0,0,42.4,27,0,1
1,0,37.0,0,1,29.7,27,0,1
1,1,31.0,1,0,113.275,7,1,0
1,1,23.0,1,0,113.275,7,1,0
1,0,58.0,0,2,113.275,27,0,1
1,1,19.0,0,2,26.2833,11,1,0
1,0,64.0,0,0,26.0,27,0,1
1,1,39.0,0,0,108.9,9,1,0
1,1,22.0,0,1,61.9792,11,1,0
1,0,65.0,0,1,61.9792,27,0,1
1,0,28.5,0,0,27.7208,27,0,1
1,0,45.5,0,0,28.5,27,0,1
1,0,23.0,0,0,93.5,27,0,1
1,0,29.0,1,0,66.6,27,0,1
1,1,22.0,1,0,66.6,9,1,0
1,0,18.0,1,0,108.9,27,0,1
1,1,17.0,1,0,108.9,9,1,0
1,1,30.0,0,0,93.5,2,1,0
1,1,52.0,0,0,30.5,7,0,1
1,0,47.0,0,0,52.0,27,0,1
1,1,56.0,0,1,83.1583,12,1,0
1,0,38.0,0,0,0.0,27,0,1
1,0,22.0,0,0,135.6333,27,0,1
1,1,43.0,0,1,211.3375,0,1,0
1,0,31.0,0,0,50.4958,27,0,1
1,1,45.0,0,0,26.55,6,0,1
1,1,33.0,0,0,27.7208,1,1,0
1,0,46.0,0,0,79.2,27,0,1
1,0,36.0,0,0,40.125,27,0,1
1,1,33.0,0,0,86.5,9,1,0
1,0,55.0,1,0,59.4,27,0,1
1,1,54.0,1,0,59.4,7,1,0
1,0,33.0,0,0,26.55,27,0,1
1,1,13.0,2,2,262.375,5,0,1
1,1,18.0,2,2,262.375,5,1,0
1,1,21.0,2,2,262.375,5,1,0
1,0,61.0,1,3,262.375,27,0,1
1,1,48.0,1,3,262.375,5,1,0
1,1,24.0,0,0,69.3,6,1,0
1,1,35.0,1,0,57.75,1,1,0
1,1,30.0,0,0,31.0,5,1,0
1,1,34.0,0,0,26.55,12,0,1
1,1,40.0,0,0,153.4625,2,1,0
1,1,35.0,0,0,26.2875,11,0,1
1,0,50.0,1,0,55.9,27,0,1
1,1,39.0,1,0,55.9,1,1,0
1,1,56.0,0,0,35.5,2,0,1
1,1,28.0,0,0,35.5,12,0,1
1,0,56.0,0,0,26.55,27,0,1
1,0,56.0,0,0,30.6958,27,0,1
1,0,24.0,1,0,60.0,27,0,1
1,1,18.0,1,0,60.0,7,1,0
1,1,24.0,1,0,82.2667,12,0,1
1,1,23.0,1,0,82.2667,12,1,0
1,1,6.0,0,2,134.5,2,0,1
1,1,45.0,1,1,134.5,2,0,1
1,1,40.0,1,1,134.5,2,1,0
1,0,57.0,1,0,146.5208,27,0,1
1,1,32.0,0,0,30.5,2,0,1
1,0,62.0,0,0,26.55,27,0,1
1,1,54.0,1,0,55.4417,17,0,1
1,1,43.0,1,0,55.4417,11,1,0
1,1,52.0,1,0,78.2667,5,1,0
1,1,62.0,0,0,80.0,7,1,0
1,0,67.0,1,0,221.7792,27,0,1
1,0,63.0,1,0,221.7792,27,1,0
1,0,61.0,0,0,32.3208,27,0,1
1,1,48.0,0,0,25.9292,9,1,0
1,1,18.0,0,2,79.65,9,1,0
1,0,52.0,1,1,79.65,27,0,1
1,1,39.0,1,1,79.65,9,1,0
1,1,48.0,1,0,52.0,19,0,1
1,0,49.0,1,1,110.8833,27,0,1
1,1,17.0,0,2,110.8833,8,0,1
1,1,39.0,1,1,110.8833,5,1,0
1,1,31.0,0,0,28.5375,12,0,1
1,0,40.0,0,0,27.7208,27,0,1
1,0,61.0,0,0,33.5,27,0,1
1,0,47.0,0,0,34.0208,27,0,1
1,1,35.0,0,0,512.3292,2,1,0
1,0,64.0,1,0,75.25,27,0,1
1,1,60.0,1,0,75.25,11,1,0
1,0,60.0,0,0,26.55,27,0,1
1,0,54.0,0,1,77.2875,27,0,1
1,0,21.0,0,1,77.2875,27,0,1
1,1,55.0,0,0,135.6333,9,1,0
1,1,31.0,0,2,164.8667,9,1,0
1,0,57.0,1,1,164.8667,27,0,1
1,1,45.0,1,1,164.8667,9,1,0
1,0,50.0,1,1,211.5,27,0,1
1,0,27.0,0,2,211.5,27,0,1
1,1,50.0,1,1,211.5,5,1,0
1,1,21.0,0,0,26.55,20,1,0
1,0,51.0,0,1,61.3792,27,0,1
1,1,21.0,0,1,61.3792,10,0,1
1,1,31.0,0,0,134.5,2,1,0
1,0,62.0,0,0,26.55,27,0,1
1,1,36.0,0,0,135.6333,9,1,0
2,0,30.0,1,0,24.0,27,0,1
2,1,28.0,1,0,24.0,3,1,0
2,0,30.0,0,0,13.0,27,0,1
2,0,18.0,0,0,11.5,27,0,1
2,0,25.0,0,0,10.5,27,0,1
2,0,34.0,1,0,26.0,27,0,1
2,1,36.0,1,0,26.0,1,1,0
2,0,57.0,0,0,13.0,27,0,1
2,0,18.0,0,0,11.5,27,0,1
2,0,23.0,0,0,10.5,27,0,1
2,1,36.0,0,0,13.0,3,1,0
2,0,28.0,0,0,10.5,27,0,1
2,0,51.0,0,0,12.525,27,0,1
2,1,32.0,1,0,26.0,16,0,1
2,1,19.0,1,0,26.0,16,1,0
2,0,28.0,0,0,26.0,27,0,1
2,1,1.0,2,1,39.0,1,0,1
2,1,4.0,2,1,39.0,1,1,0
2,1,12.0,2,1,39.0,16,1,0
2,1,36.0,0,3,39.0,1,1,0
2,1,34.0,0,0,13.0,16,0,1
2,1,19.0,0,0,13.0,21,1,0
2,0,23.0,0,0,13.0,27,0,1
2,0,26.0,0,0,13.0,27,0,1
2,0,42.0,0,0,13.0,27,0,1
2,0,27.0,0,0,13.0,27,0,1
2,1,24.0,0,0,13.0,1,1,0
2,1,15.0,0,2,39.0,14,1,0
2,0,60.0,1,1,39.0,27,0,1
2,1,40.0,1,1,39.0,14,1,0
2,1,20.0,1,0,26.0,21,1,0
2,0,25.0,1,0,26.0,27,0,1
2,1,36.0,0,0,13.0,6,1,0
2,0,25.0,0,0,13.0,27,0,1
2,0,42.0,0,0,13.0,27,0,1
2,1,42.0,0,0,13.0,27,1,0
2,1,0.8333,0,2,29.0,16,0,1
2,1,26.0,1,1,29.0,16,0,1
2,1,22.0,1,1,29.0,16,1,0
2,1,35.0,0,0,21.0,14,1,0
2,0,19.0,0,0,13.0,27,0,1
2,0,44.0,1,0,26.0,27,1,0
2,0,54.0,1,0,26.0,27,0,1
2,0,52.0,0,0,13.5,27,0,1
2,0,37.0,1,0,26.0,27,0,1
2,0,29.0,1,0,26.0,27,1,0
2,1,25.0,1,1,30.0,21,1,0
2,1,45.0,0,2,30.0,21,1,0
2,0,29.0,1,0,26.0,27,0,1
2,1,28.0,1,0,26.0,14,1,0
2,0,29.0,0,0,10.5,27,0,1
2,0,28.0,0,0,13.0,27,0,1
2,1,24.0,0,0,10.5,6,0,1
2,1,8.0,0,2,26.25,14,1,0
2,0,31.0,1,1,26.25,27,0,1
2,1,31.0,1,1,26.25,14,1,0
2,1,22.0,0,0,10.5,14,1,0
2,0,30.0,0,0,13.0,27,1,0
2,0,21.0,0,0,11.5,27,0,1
2,1,8.0,1,1,36.75,14,0,1
2,0,18.0,0,0,73.5,27,0,1
2,1,48.0,0,2,36.75,14,1,0
2,1,28.0,0,0,13.0,16,1,0
2,0,32.0,0,0,13.0,27,0,1
2,0,17.0,0,0,73.5,27,0,1
2,0,29.0,1,0,27.7208,27,0,1
2,1,24.0,1,0,27.7208,21,1,0
2,0,25.0,0,0,31.5,27,0,1
2,0,18.0,0,0,73.5,27,0,1
2,1,18.0,0,1,23.0,27,1,0
2,1,34.0,0,1,23.0,27,1,0
2,0,54.0,0,0,26.0,27,0,1
2,1,8.0,0,2,32.5,3,0,1
2,0,42.0,1,1,32.5,27,0,1
2,1,34.0,1,1,32.5,3,1,0
2,1,27.0,1,0,13.8583,21,1,0
2,1,30.0,1,0,13.8583,21,1,0
2,0,23.0,0,0,13.0,27,0,1
2,0,21.0,0,0,13.0,27,0,1
2,0,18.0,0,0,13.0,27,0,1
2,0,40.0,1,0,26.0,27,0,1
2,1,29.0,1,0,26.0,22,1,0
2,0,18.0,0,0,10.5,27,0,1
2,0,36.0,0,0,13.0,27,0,1
2,0,38.0,0,0,13.0,27,1,0
2,0,35.0,0,0,26.0,27,0,1
2,0,38.0,1,0,21.0,27,0,1
2,0,34.0,1,0,21.0,27,0,1
2,1,34.0,0,0,13.0,21,1,0
2,0,16.0,0,0,26.0,27,0,1
2,0,26.0,0,0,10.5,27,0,1
2,0,47.0,0,0,10.5,27,0,1
2,0,21.0,1,0,11.5,27,0,1
2,0,21.0,1,0,11.5,27,0,1
2,0,24.0,0,0,13.5,27,0,1
2,0,24.0,0,0,13.0,27,0,1
2,0,34.0,0,0,13.0,27,0,1
2,0,30.0,0,0,13.0,27,0,1
2,0,52.0,0,0,13.0,27,0,1
2,0,30.0,0,0,13.0,27,0,1
2,1,0.6667,1,1,14.5,5,0,1
2,1,24.0,0,2,14.5,5,1,0
2,0,44.0,0,0,13.0,27,0,1
2,1,6.0,0,1,33.0,1,1,0
2,0,28.0,0,1,33.0,27,0,1
2,1,62.0,0,0,10.5,18,0,1
2,0,30.0,0,0,10.5,27,0,1
2,1,7.0,0,2,26.25,14,1,0
2,0,43.0,1,1,26.25,27,0,1
2,1,45.0,1,1,26.25,14,1,0
2,1,24.0,1,2,65.0,6,1,0
2,1,24.0,1,2,65.0,6,1,0
2,0,49.0,1,2,65.0,27,0,1
2,1,48.0,1,2,65.0,6,1,0
2,1,55.0,0,0,16.0,16,1,0
2,0,24.0,2,0,73.5,27,0,1
2,0,32.0,2,0,73.5,27,0,1
2,0,21.0,2,0,73.5,27,0,1
2,0,18.0,1,1,13.0,27,1,0
2,1,20.0,2,1,23.0,5,1,0
2,0,23.0,2,1,11.5,27,0,1
2,0,36.0,0,0,13.0,27,0,1
2,1,54.0,1,3,23.0,5,1,0
2,0,50.0,0,0,13.0,27,0,1
2,0,44.0,1,0,26.0,27,0,1
2,1,29.0,1,0,26.0,3,1,0
2,0,21.0,0,0,73.5,27,0,1
2,1,42.0,0,0,13.0,3,0,1
2,0,63.0,1,0,26.0,27,0,1
2,0,60.0,1,0,26.0,27,1,0
2,0,33.0,0,0,12.275,27,0,1
2,1,17.0,0,0,10.5,27,1,0
2,0,42.0,1,0,27.0,27,0,1
2,1,24.0,2,1,27.0,21,1,0
2,0,47.0,0,0,15.0,27,0,1
2,0,24.0,2,0,31.5,27,0,1
2,0,22.0,2,0,31.5,27,0,1
2,0,32.0,0,0,10.5,27,0,1
2,1,23.0,0,0,13.7917,1,1,0
2,0,34.0,1,0,26.0,27,0,1
2,1,24.0,1,0,26.0,21,1,0
2,0,22.0,0,0,21.0,27,1,0
2,0,35.0,0,0,12.35,27,0,1
2,1,45.0,0,0,13.5,6,1,0
2,0,57.0,0,0,12.35,27,0,1
2,0,31.0,0,0,10.5,27,0,1
2,0,26.0,1,1,26.0,27,1,0
2,0,30.0,1,1,26.0,27,0,1
2,1,1.0,1,2,41.5792,14,1,0
2,1,3.0,1,2,41.5792,14,1,0
2,0,25.0,1,2,41.5792,27,0,1
2,1,22.0,1,2,41.5792,14,1,0
2,1,17.0,0,0,12.0,21,1,0
2,1,34.0,0,0,10.5,14,1,0
2,0,36.0,0,0,12.875,27,0,1
2,0,24.0,0,0,10.5,27,0,1
2,0,61.0,0,0,12.35,27,0,1
2,0,50.0,1,0,26.0,27,0,1
2,1,42.0,1,0,26.0,27,1,0
2,0,57.0,0,0,10.5,27,1,0
2,1,1.0,0,2,37.0042,3,0,1
2,0,31.0,1,1,37.0042,27,0,1
2,1,24.0,1,1,37.0042,3,1,0
2,0,30.0,0,0,13.0,27,0,1
2,0,40.0,0,0,16.0,27,0,1
2,0,32.0,0,0,13.5,27,0,1
2,0,30.0,0,0,13.0,27,0,1
2,0,46.0,0,0,26.0,27,0,1
2,1,13.0,0,1,19.5,14,1,0
2,1,41.0,0,1,19.5,14,1,0
2,1,19.0,0,0,10.5,8,0,1
2,0,39.0,0,0,13.0,27,0,1
2,0,48.0,0,0,13.0,27,0,1
2,0,70.0,0,0,10.5,27,0,1
2,0,27.0,0,0,13.0,27,0,1
2,0,54.0,0,0,14.0,27,0,1
2,0,39.0,0,0,26.0,27,0,1
2,0,16.0,0,0,10.5,27,0,1
2,0,62.0,0,0,9.6875,27,0,1
2,0,32.5,1,0,30.0708,27,0,1
2,1,14.0,1,0,30.0708,27,1,0
2,1,2.0,1,1,26.0,4,0,1
2,1,3.0,1,1,26.0,4,0,1
2,0,36.5,0,2,26.0,27,0,1
2,0,26.0,0,0,13.0,27,0,1
2,0,19.0,1,1,36.75,27,0,1
2,0,28.0,0,0,13.5,27,0,1
2,1,20.0,0,0,13.8625,12,0,1
2,1,29.0,0,0,10.5,1,1,0
2,0,39.0,0,0,13.0,27,0,1
2,1,22.0,0,0,10.5,16,0,1
2,0,23.0,0,0,10.5,27,0,1
2,1,29.0,0,0,13.8583,6,0,1
2,0,28.0,0,0,10.5,27,0,1
2,1,50.0,0,1,26.0,21,1,0
2,0,19.0,0,0,10.5,27,0,1
2,0,41.0,0,0,13.0,27,0,1
2,1,21.0,0,1,21.0,21,1,0
2,1,19.0,0,0,26.0,1,1,0
2,0,43.0,0,1,21.0,27,0,1
2,1,32.0,0,0,13.0,6,1,0
2,0,34.0,0,0,13.0,27,0,1
2,1,30.0,0,0,12.7375,14,0,1
2,0,27.0,0,0,15.0333,27,0,1
2,1,2.0,1,1,26.0,1,1,0
2,1,8.0,1,1,26.0,1,1,0
2,1,33.0,0,2,26.0,1,1,0
2,0,36.0,0,0,10.5,27,0,1
2,0,34.0,1,0,21.0,21,0,1
2,1,30.0,3,0,21.0,27,1,0
2,1,28.0,0,0,13.0,6,1,0
2,0,23.0,0,0,15.0458,27,0,1
2,1,0.8333,1,1,18.75,5,0,1
2,1,3.0,1,1,18.75,5,0,1
2,1,24.0,2,3,18.75,5,1,0
2,1,50.0,0,0,10.5,16,1,0
2,0,19.0,0,0,10.5,27,0,1
2,1,21.0,0,0,10.5,21,1,0
2,0,26.0,0,0,13.0,27,0,1
2,0,25.0,0,0,13.0,27,0,1
2,0,27.0,0,0,26.0,27,0,1
2,1,25.0,0,1,26.0,21,1,0
2,1,18.0,0,2,13.0,22,1,0
2,1,20.0,0,0,36.75,1,1,0
2,1,30.0,0,0,13.0,3,1,0
2,0,59.0,0,0,13.5,27,0,1
2,1,30.0,0,0,12.35,16,1,0
2,0,35.0,0,0,10.5,27,0,1
2,1,40.0,0,0,13.0,6,1,0
2,0,25.0,0,0,13.0,27,0,1
2,0,41.0,0,0,15.0458,27,0,1
2,0,25.0,0,0,10.5,27,0,1
2,0,18.5,0,0,13.0,27,0,1
2,0,14.0,0,0,65.0,27,0,1
2,1,50.0,0,0,10.5,6,1,0
2,0,23.0,0,0,13.0,27,0,1
2,1,28.0,0,0,12.65,27,1,0
2,1,27.0,0,0,10.5,22,1,0
2,0,29.0,1,0,21.0,27,0,1
2,0,27.0,1,0,21.0,27,1,0
2,0,40.0,0,0,13.0,27,0,1
2,1,31.0,0,0,21.0,14,1,0
2,0,30.0,1,0,21.0,27,0,1
2,0,23.0,1,0,10.5,27,0,1
2,1,31.0,0,0,21.0,3,1,0
2,1,12.0,0,0,15.75,6,1,0
2,1,40.0,0,0,15.75,6,1,0
2,1,32.5,0,0,13.0,21,1,0
2,0,27.0,1,0,26.0,27,0,1
2,1,29.0,1,0,26.0,3,1,0
2,1,2.0,1,1,23.0,14,0,1
2,1,4.0,1,1,23.0,14,1,0
2,1,29.0,0,2,23.0,14,1,0
2,1,0.9167,1,2,27.75,3,1,0
2,1,5.0,1,2,27.75,3,1,0
2,0,36.0,1,2,27.75,27,0,1
2,1,33.0,1,2,27.75,3,1,0
2,0,66.0,0,0,10.5,27,0,1
2,1,31.0,0,0,13.0,6,0,1
2,1,26.0,0,0,13.5,6,1,0
2,0,24.0,0,0,13.0,27,1,0
3,0,42.0,0,0,7.55,27,0,1
3,0,13.0,0,2,20.25,27,0,1
3,0,16.0,1,1,20.25,27,0,1
3,1,35.0,1,1,20.25,10,1,0
3,1,16.0,0,0,7.65,22,1,0
3,1,25.0,0,0,7.65,10,0,1
3,1,20.0,0,0,7.925,18,0,1
3,1,18.0,0,0,7.2292,13,1,0
3,0,30.0,0,0,7.25,27,0,1
3,0,26.0,0,0,8.05,27,0,1
3,0,40.0,1,0,9.475,27,1,0
3,1,0.8333,0,1,9.35,1,0,1
3,1,18.0,0,1,9.35,16,1,0
3,1,26.0,0,0,18.7875,18,0,1
3,0,26.0,0,0,7.8875,27,0,1
3,0,20.0,0,0,7.925,27,0,1
3,0,24.0,0,0,7.05,27,0,1
3,0,25.0,0,0,7.05,27,0,1
3,0,35.0,0,0,8.05,27,0,1
3,0,18.0,0,0,8.3,27,0,1
3,0,32.0,0,0,22.525,27,0,1
3,1,19.0,1,0,7.8542,22,1,0
3,0,4.0,4,2,31.275,27,0,1
3,0,6.0,4,2,31.275,27,1,0
3,0,2.0,4,2,31.275,27,1,0
3,1,17.0,4,2,7.925,4,1,0
3,0,38.0,4,2,7.775,27,1,0
3,0,9.0,4,2,31.275,27,1,0
3,0,11.0,4,2,31.275,27,1,0
3,0,39.0,1,5,31.275,27,0,1
3,1,27.0,0,0,7.7958,10,0,1
3,0,26.0,0,0,7.775,27,0,1
3,0,39.0,1,5,31.275,27,1,0
3,0,20.0,0,0,7.8542,27,0,1
3,0,26.0,0,0,7.8958,27,0,1
3,0,25.0,1,0,17.8,27,0,1
3,0,18.0,1,0,17.8,27,1,0
3,0,24.0,0,0,7.775,27,0,1
3,0,35.0,0,0,7.05,27,0,1
3,0,5.0,4,2,31.3875,27,0,1
3,0,9.0,4,2,31.3875,27,0,1
3,1,3.0,4,2,31.3875,18,0,1
3,0,13.0,4,2,31.3875,27,0,1
3,1,5.0,4,2,31.3875,18,1,0
3,0,40.0,1,5,31.3875,27,0,1
3,1,23.0,0,0,7.7958,16,0,1
3,1,38.0,1,5,31.3875,18,1,0
3,1,45.0,0,0,7.225,13,1,0
3,0,21.0,0,0,7.225,27,0,1
3,0,23.0,0,0,7.05,27,0,1
3,0,17.0,0,0,14.4583,27,1,0
3,0,30.0,0,0,7.225,27,0,1
3,0,23.0,0,0,7.8542,27,0,1
3,1,13.0,0,0,7.2292,13,1,0
3,0,20.0,0,0,7.225,27,0,1
3,0,32.0,1,0,15.85,4,0,1
3,1,33.0,3,0,15.85,27,1,0
3,1,0.75,2,1,19.2583,13,1,0
3,1,0.75,2,1,19.2583,13,1,0
3,1,5.0,2,1,19.2583,13,1,0
3,1,24.0,0,3,19.2583,13,1,0
3,1,18.0,0,0,8.05,13,1,0
3,0,40.0,0,0,7.225,27,0,1
3,0,26.0,0,0,7.8958,27,0,1
3,1,20.0,0,0,7.2292,18,0,1
3,0,18.0,0,1,14.4542,27,1,0
3,0,45.0,0,1,14.4542,27,1,0
3,0,27.0,0,0,7.8792,27,1,0
3,0,22.0,0,0,8.05,27,0,1
3,0,19.0,0,0,8.05,27,0,1
3,0,26.0,0,0,7.775,27,0,1
3,0,22.0,0,0,9.35,27,0,1
3,0,20.0,0,0,4.0125,27,0,1
3,1,32.0,0,0,56.4958,13,0,1
3,0,21.0,0,0,7.775,27,0,1
3,0,18.0,0,0,7.75,27,0,1
3,0,26.0,0,0,7.8958,27,0,1
3,0,6.0,1,1,15.2458,27,0,1
3,0,9.0,1,1,15.2458,27,1,0
3,0,40.0,1,1,15.5,27,0,1
3,0,32.0,1,1,15.5,27,1,0
